INLINE PersonalSkillTable,Skill
None,0x0
0x01 Hero,GenderswapID
0x02 Teacher,JadedID
0x03 Pillow,SummonID
0x04 Dragon,RevolutionID
0x05 Brother,ArmsthriftID
0x06 Hunter,SteadySteadyID
0x07 Pigeon,AnvilDropID
0x08 Bunny,ExtendedDestructionID
0x09 Songbird,0x0
0x0A Prince,0x0
0x0B Eagle,0x0
0x0C Baby,ZeroInID
0x0D Snot,WideEyedID
0x0E Swan,MyOwnBloodID
0x0F Storm,StormEyeID
0x10 Gale,CharismaID
0x11 Lion,TomeRangeUpID
0x12 Amelia,0x0
0x13 Artur,0x0
0x14 Gerik,0x0
0x15 Tethys,0x0
0x16 Marisa,0x0
0x17 Saleh,0x0
0x18 Ewan,0x0
0x19 L'Arachel,0x0
0x1A Dozla,0x0
0x1B -,0x0
0x1C Rennac,0x0
0x1D Duessel,0x0
0x1E Myrrh,0x0
0x1F Knoll,0x0
0x20 Young Prince,0x0
0x21 Young Teacher,0x0
0x22 Old Prince,0x0
0x23 Young Hero,0x0
0x24 Ch0Bunny,0x0
0x25 Skull,0x0
0x26 Baron,0x0
0x27 Wise,0x0
0x28 Gryphon,0x0
0x0B Eagle,0x0
0x2A Fado,0x0
0x2B Ismaire,0x0
0x2C Hayden,0x0
0x2D -,0x0
0x2E -,0x0
0x2F -,0x0
0x30 -,0x0
0x31 -,0x0
0x32 -,0x0
0x33 -,0x0
0x34 -,0x0
0x35 -,0x0
0x36 -,0x0
0x37 -,0x0
0x38 -,0x0
0x39 -,0x0
0x3A -,0x0
0x3B Sigil,CallPillowID
0x3C <Summon>,0x0
0x3D <'Summonern'>,0x0
0x3E Knoll's Summon,0x0
0x3F Ewan's Summon,0x0
0x40 Lyon (Ch 17),0x0
0x41 Morva (Ch 20),0x0
0x42 Orson (Ch 5x),0x0
0x43 Valter (Ch 15),0x0
0x44 Selena (Ch 10B & 13B),0x0
0x45 Valter (Prologue),0x0
0x46 Breguet (Ch 1),0x0
0x47 Bone (Ch 2),0x0
0x48 Bazba (Ch 3),0x0
0x49 Entombed (Ch 4),0x0
0x4A Saar (Ch 5),0x0
0x4B Novala (Ch 6),0x0
0x4C Murray (Ch 7),0x0
0x4D Tirado (Ch 8),0x0
0x4E Binks (Ch 9A),0x0
0x4F Pablo (Ch 10A),0x0
0x50 Maelduin (Ch 12A),0x0
0x51 Aias (Ch 13A),0x0
0x52 Carlyle (Ch 14A),0x0
0x53 Caellach (Ch 15),0x0
0x54 Pablo (Ch 13A),0x0
0x55 -,0x0
0x56 Gorgon (Ch 18),0x0
0x57 Riev (Ch 19 & 20),0x0
0x58 -,0x0
0x59 -,0x0
0x5A Gheb (Ch 9B),0x0
0x5B Beran (Ch 10B),0x0
0x5C Cyclops (Ch 12B),0x0
0x5D Wight (Ch 11A),0x0
0x5E Deathgoyle (Ch 11B),0x0
0x5F Entombed (Monster Boss),0x0
0x60 -,0x0
0x61 -,0x0
0x62 -,0x0
0x63 -,0x0
0x64 Hunter,0x0
0x65 Bandit (Carcino?),0x0
0x66 Brigand,0x0
0x67 Bandit (Unused?),0x0
0x68 O'Neill (Prologue),0x0
0x69 Glen (Cutscene),0x0
0x6A Zonta (Ch 5x),0x0
0x6B Vigarde (Ch 14B),0x0
0x6C Lyon (Ch Final),0x0
0x6D Orson (Ch 16),0x0
0x6E -,0x0
0x6F -,0x0
0x70 -,0x0
0x71 -,0x0
0x72 -,0x0
0x73 -,0x0
0x74 -,0x0
0x75 -,0x0
0x76 -,0x0
0x77 -,0x0
0x78 -,0x0
0x79 -,0x0
0x7A -,0x0
0x7B -,0x0
0x7C -,0x0
0x7D -,0x0
0x7E -,0x0
0x7F Deserter,0x0
0x80 Grado Soldier (Main),0x0
0x81 Grado Soldier,0x0
0x82 Grado Soldier,0x0
0x83 Jerry,0x0
0x84 Grado Soldier,0x0
0x85 Combatant,0x0
0x86 -,0x0
0x87 -,0x0
0x88 -,0x0
0x89 Grado (Duessel's),0x0
0x8A Grado (Duessel's),0x0
0x8B Grado (Duessel's),0x0
0x8C Grado,0x0
0x8D Grado Remnant (Main),0x0
0x8E Cutthroat,0x0
0x8F Grado Remnant (Cutscene/C16),0x0
0x90 Grado Remnant (C16),0x0
0x91 Grado Remnant (C16),0x0
0x92 Wraith (Sage),0x0
0x93 Wraith (Swords),0x0
0x94 Wraith (Axes),0x0
0x95 -,0x0
0x96 -,0x0
0x97 -,0x0
0x98 -,0x0
0x99 -,0x0
0x9A -,0x0
0x9B -,0x0
0x9C -,0x0
0x9D -,0x0
0x9E -,0x0
0x9F -,0x0
0xA0 -,0x0
0xA1 -,0x0
0xA2 -,0x0
0xA3 -,0x0
0xA4 -,0x0
0xA5 -,0x0
0xA6 -,0x0
0xA7 Mercenary (Ch 9A),0x0
0xA8 Mercenary (Ch 10A),0x0
0xA9 Remnant/Merc (Ch 13A),0x0
0xAA Beast,0x0
0xAB Beast (Ch 2),0x0
0xAC Lowlander,0x0
0xAD JabberwockBoss,WatchfulID
0xAE Beast,0x0
0xAF Lowlander (Ch 4),0x0
0xB0 JabberwockBlocker,VoidCurseID
0xB1 JabberwockSiege,VoidCurseID
0xB2 JabberwockAttacker,VoidCurseID
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Demon King,0x0
0,0x0
Frelian,0x0
Frelian,0x0
0,0x0
0,0x0
0,0x0
Fado (Renais),0x0
0,0x0
Hayden (Frelia),0x0
Mansel (Rausten),0x0
Klimt (Carcino),0x0
Dara (Caer Pelyn),0x0
Ismaire (Jehanna),0x0
Pegasus Messenger,0x0
Rausten Knight,0x0
Rausten Knight,0x0
(Untested Beyond this point),0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
